Sample,Channel 1 [V],Channel 2 [V],Channel 3 [V],Channel 4 [V]
0,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9051125571258991
1,5.0226883282895965e-06,-7.402541966414401e-05,0.5056573847257662,-0.905079877491142
2,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
3,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.905079877491142
4,5.0226883282895965e-06,-7.402541966414401e-05,0.5055924501643216,-0.905079877491142
5,-2.796162633415859e-05,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
6,5.0226883282895965e-06,-7.402541966414401e-05,0.5056573847257662,-0.9050145182216282
7,5.0226883282895965e-06,-7.402541966414401e-05,0.5056573847257662,-0.9050145182216282
8,-2.796162633415859e-05,-7.402541966414401e-05,0.5056573847257662,-0.905079877491142
9,5.0226883282895965e-06,-7.402541966414401e-05,0.5056573847257662,-0.9050145182216282
10,-2.796162633415859e-05,-4.043900895116161e-05,0.5056573847257662,-0.9050145182216282
11,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050471978563851
12,5.0226883282895965e-06,-4.043900895116161e-05,0.5056573847257662,-0.9050471978563851
13,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050471978563851
14,3.800700299073778e-05,-0.0001076118303771264,0.5056573847257662,-0.9050471978563851
15,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
16,5.0226883282895965e-06,-7.402541966414401e-05,0.5056573847257662,-0.9050471978563851
17,-2.796162633415859e-05,-4.043900895116161e-05,0.5056249174450439,-0.905079877491142
18,-2.796162633415859e-05,-7.402541966414401e-05,0.5055924501643216,-0.905079877491142
19,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050471978563851
20,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050145182216282
21,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050471978563851
22,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.905079877491142
23,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
24,5.0226883282895965e-06,-7.402541966414401e-05,0.5055599828835995,-0.9050145182216282
25,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050145182216282
26,-2.796162633415859e-05,-4.043900895116161e-05,0.5056249174450439,-0.9050471978563851
27,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050145182216282
28,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
29,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9049818385868711
30,3.800700299073778e-05,-7.402541966414401e-05,0.5055275156028772,-0.9050145182216282
31,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050471978563851
32,5.0226883282895965e-06,-7.402541966414401e-05,0.5055924501643216,-0.9050471978563851
33,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050145182216282
34,5.0226883282895965e-06,-7.402541966414401e-05,0.5055924501643216,-0.9049818385868711
35,5.0226883282895965e-06,-7.402541966414401e-05,0.5055924501643216,-0.9049818385868711
36,-2.796162633415859e-05,-4.043900895116161e-05,0.5055599828835995,-0.9050471978563851
37,-2.796162633415859e-05,-4.043900895116161e-05,0.5055599828835995,-0.905079877491142
38,-2.796162633415859e-05,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
39,-2.796162633415859e-05,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
40,-6.094594099660677e-05,-7.402541966414401e-05,0.5055924501643216,-0.9050471978563851
41,-2.796162633415859e-05,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
42,-2.796162633415859e-05,-4.043900895116161e-05,0.5056249174450439,-0.9050471978563851
43,-2.796162633415859e-05,-7.402541966414401e-05,0.5055924501643216,-0.9050471978563851
44,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
45,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.905079877491142
46,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.905079877491142
47,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.905079877491142
48,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
49,-2.796162633415859e-05,-4.043900895116161e-05,0.5055924501643216,-0.9050145182216282
50,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050145182216282
51,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
52,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
53,-2.796162633415859e-05,-7.402541966414401e-05,0.5056249174450439,-0.9049818385868711
54,-2.796162633415859e-05,-4.043900895116161e-05,0.5056249174450439,-0.9050145182216282
55,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050145182216282
56,5.0226883282895965e-06,-4.043900895116161e-05,0.5055599828835995,-0.905079877491142
57,5.0226883282895965e-06,-4.043900895116161e-05,0.5055599828835995,-0.9050145182216282
58,5.0226883282895965e-06,-4.043900895116161e-05,0.5055599828835995,-0.9050145182216282
59,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050145182216282
60,5.0226883282895965e-06,-7.402541966414401e-05,0.5055924501643216,-0.9050471978563851
61,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050471978563851
62,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9049818385868711
63,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050145182216282
64,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
65,3.800700299073778e-05,-7.402541966414401e-05,0.5056249174450439,-0.9050471978563851
66,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
67,-2.796162633415859e-05,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
68,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
69,-2.796162633415859e-05,-7.402541966414401e-05,0.5055924501643216,-0.9050145182216282
70,5.0226883282895965e-06,-7.402541966414401e-05,0.5055924501643216,-0.9050471978563851
71,-2.796162633415859e-05,-7.402541966414401e-05,0.5056249174450439,-0.9050145182216282
72,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9049818385868711
73,-2.796162633415859e-05,-4.043900895116161e-05,0.5055924501643216,-0.9049818385868711
74,-2.796162633415859e-05,-4.043900895116161e-05,0.5056249174450439,-0.9050145182216282
75,-2.796162633415859e-05,-4.043900895116161e-05,0.5055924501643216,-0.9050471978563851
76,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9049818385868711
77,5.0226883282895965e-06,-4.043900895116161e-05,0.5055924501643216,-0.9050145182216282
78,-2.796162633415859e-05,-4.043900895116161e-05,0.5056249174450439,-0.9050471978563851
79,5.0226883282895965e-06,-7.402541966414401e-05,0.5056249174450439,-0.9051125571258991
80,5.0226883282895965e-06,-4.043900895116161e-05,0.5056249174450439,-0.9050471978563851
81,-2.796162633415859e-05,-4.043900895116161e-05,0.5056249174450439,-0.9049818385868711
